Month,Goodreads: (United States)
2004-01,1
2004-02,0
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,0
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,0
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,0
2006-08,0
2006-09,1
2006-10,1
2006-11,0
2006-12,0
2007-01,1
2007-02,1
2007-03,2
2007-04,2
2007-05,3
2007-06,3
2007-07,6
2007-08,8
2007-09,7
2007-10,5
2007-11,5
2007-12,8
2008-01,10
2008-02,11
2008-03,12
2008-04,13
2008-05,11
2008-06,13
2008-07,12
2008-08,14
2008-09,15
2008-10,14
2008-11,14
2008-12,14
2009-01,18
2009-02,16
2009-03,16
2009-04,15
2009-05,18
2009-06,19
2009-07,17
2009-08,19
2009-09,17
2009-10,16
2009-11,16
2009-12,18
2010-01,20
2010-02,19
2010-03,18
2010-04,19
2010-05,22
2010-06,22
2010-07,22
2010-08,22
2010-09,23
2010-10,22
2010-11,21
2010-12,23
2011-01,32
2011-02,32
2011-03,32
2011-04,34
2011-05,38
2011-06,40
2011-07,41
2011-08,42
2011-09,45
2011-10,42
2011-11,48
2011-12,48
2012-01,56
2012-02,53
2012-03,56
2012-04,60
2012-05,61
2012-06,67
2012-07,72
2012-08,71
2012-09,73
2012-10,69
2012-11,70
2012-12,76
2013-01,86
2013-02,84
2013-03,92
2013-04,90
2013-05,85
2013-06,92
2013-07,95
2013-08,88
2013-09,87
2013-10,82
2013-11,83
2013-12,87
2014-01,95
2014-02,87
2014-03,90
2014-04,87
2014-05,100
2014-06,94
2014-07,99
2014-08,96
2014-09,96
2014-10,88
2014-11,87
2014-12,95
2015-01,99
2015-02,88
2015-03,88
2015-04,86
2015-05,91
2015-06,91
2015-07,91
2015-08,89
2015-09,88
2015-10,80
2015-11,82
2015-12,88
2016-01,81
2016-02,70
2016-03,70
2016-04,66
2016-05,72
2016-06,70
2016-07,66
2016-08,66
2016-09,67
2016-10,61
2016-11,65
2016-12,67
2017-01,72
2017-02,64
2017-03,66
2017-04,66
2017-05,64
2017-06,65
2017-07,63
2017-08,63
2017-09,62
2017-10,62
2017-11,62
2017-12,67
2018-01,75
2018-02,64
2018-03,65
2018-04,64
2018-05,62
2018-06,63
2018-07,60
2018-08,65
2018-09,63
2018-10,58
2018-11,57
2018-12,63
2019-01,73
2019-02,61
2019-03,57
2019-04,56
2019-05,62
2019-06,63
2019-07,59
2019-08,60
2019-09,61
2019-10,56
2019-11,57
2019-12,59
2020-01,70
2020-02,61
2020-03,55
2020-04,59
2020-05,60
2020-06,60
2020-07,61
2020-08,59
2020-09,63
